Date;Close
31/08/2021;245.240.005
01/09/2021;244.696.671
02/09/2021;244.130.005
03/09/2021;244.523.331
07/09/2021;250.973.328
08/09/2021;251.289.993
09/09/2021;251.619.995
10/09/2021;245.423.340
13/09/2021;247.666.672
14/09/2021;248.163.330
15/09/2021;251.943.329
16/09/2021;252.330.002
17/09/2021;253.163.330
20/09/2021;243.389.999
21/09/2021;246.460.007
22/09/2021;250.646.667
23/09/2021;251.213.333
24/09/2021;258.130.005
27/09/2021;263.786.682
28/09/2021;259.186.676
29/09/2021;260.436.676
30/09/2021;258.493.347
01/10/2021;258.406.677
04/10/2021;260.510.010
05/10/2021;260.196.655
06/10/2021;260.916.656
07/10/2021;264.536.682
08/10/2021;261.829.987
11/10/2021;263.980.011
12/10/2021;268.573.334
13/10/2021;270.359.985
14/10/2021;272.773.346
15/10/2021;281.010.010
18/10/2021;290.036.682
19/10/2021;288.089.996
20/10/2021;288.600.006
21/10/2021;298.000.000
22/10/2021;303.226.654
25/10/2021;341.619.995
26/10/2021;339.476.654
27/10/2021;345.953.339
28/10/2021;359.013.336
29/10/2021;371.333.344
01/11/2021;402.863.342
02/11/2021;390.666.656
03/11/2021;404.619.995
04/11/2021;409.970.001
05/11/2021;407.363.342
08/11/2021;387.646.667
09/11/2021;341.166.656
10/11/2021;355.983.337
11/11/2021;354.503.326
12/11/2021;344.473.328
15/11/2021;337.796.661
16/11/2021;351.576.660
17/11/2021;363.003.326
18/11/2021;365.459.991
19/11/2021;379.019.989
22/11/2021;385.623.322
23/11/2021;369.676.666
24/11/2021;372.000.000
26/11/2021;360.640.015
29/11/2021;378.996.674
30/11/2021;381.586.670
01/12/2021;365.000.000
02/12/2021;361.533.325
03/12/2021;338.323.334
06/12/2021;336.336.670
07/12/2021;350.583.344
08/12/2021;356.320.007
09/12/2021;334.600.006
10/12/2021;339.010.010
13/12/2021;322.136.658
14/12/2021;319.503.326
15/12/2021;325.329.987
16/12/2021;308.973.328
17/12/2021;310.856.659
20/12/2021;299.980.011
21/12/2021;312.843.323
22/12/2021;336.290.009
23/12/2021;355.666.656
27/12/2021;364.646.667
28/12/2021;362.823.334
29/12/2021;362.063.324
30/12/2021;356.779.999
31/12/2021;352.260.010
03/01/2022;399.926.666
04/01/2022;383.196.655
05/01/2022;362.706.665
06/01/2022;354.899.994
07/01/2022;342.320.007
10/01/2022;352.706.665
11/01/2022;354.799.988
12/01/2022;368.739.990
13/01/2022;343.853.333
14/01/2022;349.869.995
18/01/2022;343.503.326
19/01/2022;331.883.331
20/01/2022;332.089.996
21/01/2022;314.633.331
24/01/2022;310.000.000
25/01/2022;306.133.331
26/01/2022;312.470.001
27/01/2022;276.366.669
28/01/2022;282.116.669
31/01/2022;312.239.990
01/02/2022;310.416.656
02/02/2022;301.886.658
03/02/2022;297.046.661
04/02/2022;307.773.346
07/02/2022;302.446.655
